match_id,player_slot,account_id,assists,camps_stacked,damage_taken,deaths,denies,gold_perm_min,hero_damage,hero_healing,hero_id,kills,team_slot,last_hits,leaver_status,rune_pickups,obs_placed,sen_placed,tower_damaged,xp_per_min,isRadiant,total_gold,kda,rank_tier,matchId,position
7794548607,0,,31,,,10,5,,18871,0,97,5,0,178,0,,,,,869,1,22480,3.27,,7794548607,1
7794548607,1,140790174.0,15,,,7,12,,32266,0,35,15,1,288,0,,,,,732,1,28193,3.75,80.0,7794548607,2
7794548607,2,184432279.0,25,,,8,0,,36430,125,88,10,2,24,0,,,,,839,1,16767,3.89,80.0,7794548607,3
7794548607,4,134186244.0,25,,,4,0,,19276,0,123,8,4,138,0,,,,,669,1,19002,6.6,80.0,7794548607,5
7794548607,128,370370527.0,18,,,10,2,,26635,320,74,6,0,131,0,,,,,539,0,17346,2.18,80.0,7794548607,1
7794548607,129,381637185.0,5,,,9,5,,17327,0,44,7,1,382,0,,,,,914,0,25543,1.2,80.0,7794548607,2
7794548607,130,1135861604.0,14,,,13,17,,20153,0,11,4,2,323,0,,,,,744,0,23266,1.29,80.0,7794548607,3
7794548607,131,371411128.0,15,,,11,21,,44512,288,104,10,3,224,0,,,,,687,0,21569,2.08,80.0,7794548607,4
7794548607,132,174277970.0,15,,,11,1,,20660,0,86,6,4,40,0,,,,,580,0,12999,1.75,80.0,7794548607,5
7794563503,0,77415789.0,1,,,6,7,,6479,0,108,0,0,94,0,,,,,407,1,6138,0.14,80.0,7794563503,1
7794563503,1,899273569.0,2,,,4,0,,1594,2138,91,0,1,14,0,,,,,245,1,3895,0.4,80.0,7794563503,2
7794563503,2,,2,,,9,4,,4264,0,17,0,2,113,0,,,,,443,1,7542,0.2,,7794563503,3
7794563503,3,327048145.0,4,,,5,13,,4367,0,12,4,3,146,0,,,,,459,1,9988,1.33,80.0,7794563503,4
7794563503,4,281015790.0,10,,,7,2,,7442,0,14,4,4,4,0,,,,,207,1,5050,1.75,73.0,7794563503,5
7794563503,128,1195902839.0,7,,,1,9,,20942,0,11,17,0,166,0,,,,,666,0,17372,12.0,80.0,7794563503,1
7794563503,129,146642343.0,10,,,6,13,,11848,0,20,8,1,125,0,,,,,543,0,13318,2.57,80.0,7794563503,2
7794563503,130,143160754.0,15,,,0,2,,7379,0,26,1,2,13,0,,,,,423,0,7270,16.0,80.0,7794563503,3
7794563503,131,110455350.0,8,,,0,56,,9913,142,54,3,3,209,0,,,,,566,0,14428,11.0,80.0,7794563503,4
7794565811,0,374750304.0,14,,,8,10,,17053,110,17,8,0,221,0,,,,,699,1,18728,2.44,71.0,7794565811,1
7794565811,1,86862668.0,36,,,6,2,,29329,0,120,11,1,114,0,,,,,896,1,18368,6.71,65.0,7794565811,2
7794565811,2,852105006.0,38,,,4,5,,16121,0,5,2,2,36,0,,,,,698,1,12496,8.0,64.0,7794565811,3
7794565811,3,164442853.0,14,,,5,9,,32016,0,2,21,3,209,0,,,,,877,1,22205,5.83,71.0,7794565811,4
7794565811,4,214542798.0,24,,,7,16,,25961,0,6,14,4,168,0,,,,,902,1,20237,4.75,71.0,7794565811,5
7794565811,128,1006453215.0,16,,,12,12,,22093,254,110,3,0,160,0,,,,,609,0,14432,1.46,71.0,7794565811,1
7794565811,129,,11,,,13,11,,14611,0,95,4,1,220,0,,,,,684,0,16662,1.07,,7794565811,2
7794565811,130,144569195.0,7,,,13,3,,25801,0,88,11,2,84,0,,,,,670,0,15383,1.29,71.0,7794565811,3
